img_id,cattr_sat_mean,cattr_val_mean,cattr_edge_density,cattr_texture_entropy,cattr_lbp_energy,cattr_lbp_entropy,cattr_fg_area_ratio,cattr_fg_aspect_ratio,cattr_centroid_x,cattr_centroid_y,cattr_symmetry_lr,cattr_grad_anisotropy,cattr_upper_lower_mass_ratio,cattr_hu1,cattr_hu2,cattr_hu3,cattr_bbox_ratio,cattr_color_red_ratio,cattr_color_orange_ratio,cattr_color_yellow_ratio,cattr_color_green_ratio,cattr_color_cyan_ratio,cattr_color_blue_ratio,cattr_color_magenta_ratio,cattr_color_white_ratio,cattr_color_gray_ratio,cattr_color_black_ratio,cattr_color_green_present
180,0.23979702591896057,0.5610437393188477,0.19991629464285715,4.675535672554382,0.04254072904586792,5.112350504563881,0.5527144451530612,1.0,0.5106435340585167,0.5305660527460849,0.7637139558792114,0.08367617495907703,0.7782123657118544,0.3117892976565062,0.0010650563506965104,0.0007801627397057967,1.6527,0.029057716836734693,0.2557397959183674,0.14287707270408162,0.053431919642857144,0.00027901785714285713,0.0045639349489795915,0.001295440051020408,0.09183673469387756,0.3297791772959184,0.1015625,1.0
213,0.22151291370391846,0.5057666897773743,0.19999601403061223,4.922233910032896,0.0382065549492836,5.154657822886119,0.544304049744898,1.0,0.5135999506104162,0.5055752925979824,0.7624925374984741,0.06621420241122454,0.9074591439598163,0.22332104007418146,0.00029085897634993304,0.0003122332797788725,1.2902,0.00914779974489796,0.23377710459183673,0.009526466836734694,0.00914779974489796,0.00741390306122449,0.1240234375,0.0,0.12900589923469388,0.32190688775510207,0.18281648596938777,0.0
325,0.3939509987831116,0.3531293272972107,0.19999601403061223,4.449314552224678,0.03973282873630524,5.204718317074237,0.619140625,1.0,0.42830525145509674,0.4672561729562318,0.7853924036026001,0.03539171901672657,1.2700767213915347,0.30172997721308714,0.0002043345957266826,0.0001821508339427324,1.305,0.00643734056122449,0.19052933673469388,0.28806600765306123,0.0,1.992984693877551e-05,0.0002192283163265306,7.971938775510203e-05,0.05123963647959184,0.2916733099489796,0.21404655612244897,0.0
412,0.09707993268966675,0.5098041892051697,0.19997608418367346,4.65265708535793,0.03933792561292648,5.140872475225841,0.16206951530612246,1.0476190476190477,0.32548708639290275,0.305887276970348,0.7938201427459717,0.05167639387262139,3.522802762557977,0.7107672172189828,0.014552713422592553,0.12093126365786118,1.1827,0.0,0.05084103954081633,0.05291374362244898,0.0003587372448979592,0.0011559311224489796,0.00763313137755102,0.0,0.10835857780612244,0.7115951849489796,0.07025271045918367,0.0
503,0.2515209913253784,0.580564558506012,0.19999601403061223,4.800178437595671,0.04532453790307045,5.105015147926512,0.578483737244898,0.8727272727272727,0.6413866151855813,0.45001049005391486,0.6149169206619263,0.02381574701523679,1.2876733864934191,0.19249347510776815,0.000927824637810237,0.000589278230464754,1.566,0.023497289540816327,0.02090640943877551,0.009785554846938776,0.2331592793367347,0.008769132653061224,0.1923828125,0.0006776147959183673,0.3319116709183674,0.08677455357142858,0.1273517219387755,1.0
562,0.44672584533691406,0.596384584903717,0.19999601403061223,4.491764755659805,0.03716008737683296,5.311128589918134,0.9526267538265306,1.0,0.5012771623925562,0.5009610028991919,0.7636983394622803,0.03458615769522508,0.991956992916229,0.1684506279517064,2.0057908792968019e-07,2.4248889174747184e-07,1.1345,0.006118463010204082,0.435367506377551,0.08830915178571429,0.0001992984693877551,0.00011957908163265306,0.31845902423469385,0.0011160714285714285,0.0059590242346938774,0.06441326530612244,0.11268335459183673,0.0
646,0.16566212475299835,0.49825119972229004,0.19997608418367346,4.578746116010105,0.03907492384314537,5.226901547063808,0.29135443239795916,0.985981308411215,0.5308936677712554,0.5018148567025467,0.7760560512542725,0.06733569627471804,1.1159357317866614,0.35412575071245594,0.05772093650959443,0.0009729049395382835,1.5169,0.0005978954081632653,0.05606265943877551,0.022261639030612245,1.992984693877551e-05,0.00013950892857142856,0.03693000637755102,0.0014150191326530613,0.05785634566326531,0.6411033163265306,0.2012515943877551,0.0
699,0.2842790484428406,0.546125590801239,0.19989636479591838,3.8183376967244884,0.07734383642673492,4.861241807059503,0.7907963966836735,1.0,0.49088814417313287,0.5086452186871392,0.8477892875671387,0.0011541959498087462,0.9173230258875091,0.22261996015248287,0.000382413984538809,2.1619601947524287e-06,1.2816,0.00015943877551020407,0.0021324936224489796,0.0021324936224489796,0.7336973852040817,0.0,0.00466358418367347,0.0,0.036431760204081634,0.12486049107142858,0.09972895408163265,1.0
702,0.2536064684391022,0.4734152853488922,0.19993622448979592,4.327702619596483,0.042443472892045975,5.092589306767152,0.5496253188775511,1.0,0.5029426523449022,0.5158498666806289,0.8157081604003906,0.0310851784859546,0.8035445719237942,0.29606035309975753,0.0019096018491605504,0.001173588746185632,1.5948,0.11533402423469388,0.09327168367346939,0.05528539540816327,0.17940848214285715,0.01985012755102041,0.0768295599489796,0.0005381058673469387,0.07378029336734694,0.3621452487244898,0.03236607142857143,1.0
742,0.3926089107990265,0.44403892755508423,0.19997608418367346,4.232358164197342,0.039668891578912735,5.104513543028608,0.920539700255102,1.0,0.4934780057022487,0.4923001584346321,0.8563153743743896,0.2029574870425865,1.049656089973032,0.17166534433877978,2.177406898039726e-05,1.5808743468979647e-05,1.0,0.05624202806122449,0.5241350446428571,0.026167889030612245,0.0012755102040816326,0.016840720663265307,0.2536073022959184,0.004544005102040816,0.008848852040816327,0.07445790816326531,0.07954001913265306,0.0
