img_id,cattr_hu2,cattr_hu1,cattr_color_yellow_ratio,cattr_color_red_ratio,cattr_lbp_energy,cattr_color_orange_ratio,cattr_sat_mean,cattr_hu3
180,0.0010650563506965104,0.3117892976565062,0.14287707270408162,0.029057716836734693,0.04254072904586792,0.2557397959183674,0.23979702591896057,0.0007801627397057967
213,0.00029085897634993304,0.22332104007418146,0.009526466836734694,0.00914779974489796,0.0382065549492836,0.23377710459183673,0.22151291370391846,0.0003122332797788725
325,0.0002043345957266826,0.30172997721308714,0.28806600765306123,0.00643734056122449,0.03973282873630524,0.19052933673469388,0.3939509987831116,0.0001821508339427324
412,0.014552713422592553,0.7107672172189828,0.05291374362244898,0.0,0.03933792561292648,0.05084103954081633,0.09707993268966675,0.12093126365786118
503,0.000927824637810237,0.19249347510776815,0.009785554846938776,0.023497289540816327,0.04532453790307045,0.02090640943877551,0.2515209913253784,0.000589278230464754
562,2.0057908792968019e-07,0.1684506279517064,0.08830915178571429,0.006118463010204082,0.03716008737683296,0.435367506377551,0.44672584533691406,2.4248889174747184e-07
646,0.05772093650959443,0.35412575071245594,0.022261639030612245,0.0005978954081632653,0.03907492384314537,0.05606265943877551,0.16566212475299835,0.0009729049395382835
699,0.000382413984538809,0.22261996015248287,0.0021324936224489796,0.00015943877551020407,0.07734383642673492,0.0021324936224489796,0.2842790484428406,2.1619601947524287e-06
702,0.0019096018491605504,0.29606035309975753,0.05528539540816327,0.11533402423469388,0.042443472892045975,0.09327168367346939,0.2536064684391022,0.001173588746185632
742,2.177406898039726e-05,0.17166534433877978,0.026167889030612245,0.05624202806122449,0.039668891578912735,0.5241350446428571,0.3926089107990265,1.5808743468979647e-05
773,8.875632822574085e-07,0.17461271577461512,0.38928970025510207,0.0074338329081632655,0.04474963992834091,0.01572464923469388,0.5170933604240417,5.463584331454422e-07
775,0.005515663133193684,0.20152510063720255,0.05096061862244898,5.978954081632653e-05,0.03906721621751785,0.05725845025510204,0.2817472517490387,0.00010404351522426784
791,0.000278097315690085,0.23417365285364827,0.030911192602040817,0.0003587372448979592,0.04890631511807442,0.021504304846938774,0.24833698570728302,2.980755493878912e-05
839,2.2623667741778112e-07,0.168875646373617,0.04081632653061224,0.02879862882653061,0.04321105033159256,0.8216278698979592,0.5200498104095459,3.517910030274056e-08
853,2.966609460260194e-06,0.18714642171348772,0.07489636479591837,0.04544005102040816,0.0394795797765255,0.10493064413265306,0.42712414264678955,8.376734874602837e-07
892,0.00023279737213088977,0.24483443142428246,0.057138871173469385,0.009107940051020409,0.04278748482465744,0.01118064413265306,0.21345524489879608,0.00030543768438040124
894,0.0005050470691780275,0.18317193837919254,0.21456473214285715,0.0005580357142857143,0.06370754539966583,0.037966358418367346,0.3581202030181885,1.0366924122929661e-05
916,0.0001747031581474592,0.2132578711832873,0.05996890943877551,0.3341039540816326,0.05383717641234398,0.09859295280612244,0.300950288772583,0.0003603568893299123
927,0.0033648869488824736,0.27467420308866924,0.15581154336734693,0.03115035076530612,0.0687216967344284,0.0872329400510204,0.19853273034095764,0.01331676189038896
935,0.0002625138675575418,0.2040033213444367,0.044025031887755105,0.19762436224489796,0.04968089237809181,0.09610172193877552,0.4864962100982666,0.00014555065292620934
937,0.0026113251950835178,0.183278852893545,0.002889827806122449,0.38438695790816324,0.04016369953751564,0.03884327168367347,0.267903596162796,0.0005966463954862736
947,0.0006344749652554296,0.23772471034655573,0.0,0.2842394770408163,0.05553554743528366,0.4082629145408163,0.36314553022384644,0.0007268888238492603
998,0.6689990750096956,1.9587964550602106,0.028439891581632654,0.002152423469387755,0.04256182536482811,0.0696548150510204,0.13613462448120117,0.7394389072906056
999,0.0002670587981671805,0.2280778782877291,0.0038863201530612247,0.0007573341836734694,0.04409325495362282,0.02431441326530612,0.30447447299957275,0.00020636925273131686
